id,customer_id,store_id,date,value,product_id,product_quantiy
1,8,1,2,2023-08-01 04:57:57,21.59,9810,1
2,13,3,24,2023-08-01 22:05:36,971.96,7364,4
3,16,6,57,2023-08-01 22:45:50,12599.95,5767,5
4,17,2,15,2023-08-01 09:22:33,478.77,14426,4
5,44,1,2,2023-08-01 19:05:11,797.54,12990,3
6,45,7,66,2023-08-01 07:16:36,1833.3,10658,3
7,46,2,11,2023-08-01 01:34:50,973.97,14313,3
8,60,5,42,2023-08-01 07:28:21,753.84,7322,3
9,77,2,15,2023-08-01 12:12:40,5399.99,5890,1
10,85,3,23,2023-08-01 04:45:13,2519.99,1966,1
11,104,6,58,2023-08-01 22:11:43,48.98,12839,2
12,109,2,10,2023-08-01 12:47:12,80.96,2309,3
13,127,9,82,2023-08-01 21:05:52,939.57,513,3
14,129,5,41,2023-08-01 20:40:21,1484.97,11767,3
15,136,7,70,2023-08-01 22:59:47,899.96,5081,4
16,142,9,84,2023-08-01 14:49:40,359.93,8412,5
17,155,2,11,2023-08-01 16:11:53,76.9,4821,4
18,191,3,25,2023-08-01 05:09:40,476.77,2723,4
19,20,7,69,2023-08-02 11:31:57,1151.96,2518,4
20,30,4,32,2023-08-02 20:13:01,197.05,7980,2
21,31,7,64,2023-08-02 14:59:18,3456.0,7674,5
22,32,9,84,2023-08-02 20:15:34,714.24,452,4
23,53,6,52,2023-08-02 07:34:42,1991.96,2789,4
24,78,4,31,2023-08-02 19:09:57,314.94,4444,5
25,91,4,32,2023-08-02 09:28:07,822.15,8323,3
26,107,8,76,2023-08-02 11:28:52,209.97,1171,3
27,136,5,43,2023-08-02 05:09:58,1432.73,11952,2
28,139,4,32,2023-08-02 20:43:54,220.04,11911,3
29,147,5,42,2023-08-02 23:03:50,503.97,12462,4
30,148,6,51,2023-08-02 00:30:46,4600.05,3506,5
31,161,4,32,2023-08-02 13:52:16,1101.54,10591,4
32,190,5,44,2023-08-02 06:53:47,989.95,12752,5
33,194,1,1,2023-08-02 08:18:27,903.41,2071,1
34,5,2,12,2023-08-03 00:55:18,145.68,1072,1
35,6,1,2,2023-08-03 20:43:20,132.29,3623,2
36,9,5,43,2023-08-03 11:36:46,70.19,12857,1
37,12,8,76,2023-08-03 23:48:24,591.0,670,1
38,19,5,41,2023-08-03 19:59:11,28.32,1016,3
39,30,6,56,2023-08-03 19:55:25,1599.52,2059,1
40,34,7,70,2023-08-03 17:40:40,50.69,7812,1
41,37,5,41,2023-08-03 14:31:17,1421.52,13487,3
42,46,1,2,2023-08-03 17:43:56,28.32,1016,3
43,53,3,28,2023-08-03 16:07:10,8399.96,2441,5
44,59,6,56,2023-08-03 04:05:26,195.0,5219,3
45,72,7,70,2023-08-03 15:37:03,292.94,9021,3
46,85,7,69,2023-08-03 20:35:51,44.95,11141,1
47,102,3,28,2023-08-03 09:06:11,1276.8,11902,4
48,115,1,1,2023-08-03 05:24:25,1376.99,2054,1
49,139,9,84,2023-08-03 08:32:59,1574.95,8426,1
50,149,9,84,2023-08-03 11:22:21,121.49,9337,3
51,168,3,25,2023-08-03 09:32:43,7485.0,13660,3
52,169,5,42,2023-08-03 04:38:16,157.47,4717,5
53,174,1,2,2023-08-03 21:48:57,23.75,4192,1
54,3,8,76,2023-08-04 08:36:55,674.95,2139,5
55,4,2,14,2023-08-04 01:35:49,97.64,13874,1
56,55,2,13,2023-08-04 12:15:51,68.4,9672,2
57,75,2,14,2023-08-04 02:44:46,88.18,5212,2
58,80,8,76,2023-08-04 09:00:26,1319.96,5069,4
59,86,6,55,2023-08-04 23:25:42,2699.97,7278,3
60,90,7,71,2023-08-04 11:03:05,3824.95,11404,5
61,110,1,1,2023-08-04 15:19:43,1436.4,11500,4
62,142,7,65,2023-08-04 18:40:51,121.47,11004,3
63,147,4,30,2023-08-04 06:44:49,27.21,12676,2
64,160,1,1,2023-08-04 01:07:05,899.97,658,5
65,171,2,13,2023-08-04 11:39:39,53.99,5371,1
66,181,1,2,2023-08-04 07:46:39,844.83,6603,3
67,7,4,32,2023-08-05 04:25:07,236.15,631,1
68,9,1,1,2023-08-05 00:20:00,134.99,6437,1
69,24,9,83,2023-08-05 23:22:09,493.53,11886,3
70,28,4,30,2023-08-05 12:29:02,1295.98,686,4
71,34,9,81,2023-08-05 08:59:41,160.45,12960,2
72,38,3,28,2023-08-05 02:06:45,289.79,13916,1
73,41,9,84,2023-08-05 14:35:21,89.98,8362,2
74,44,1,2,2023-08-05 07:07:49,2915.98,10105,3
75,48,6,54,2023-08-05 08:19:32,173.99,9001,1
76,61,9,83,2023-08-05 02:52:10,5395.66,3476,3
77,64,7,65,2023-08-05 03:31:19,145.71,9547,2
78,81,3,24,2023-08-05 14:37:46,40.19,8872,2
79,82,7,67,2023-08-05 07:22:36,206.95,12718,5
80,90,3,28,2023-08-05 02:36:14,959.95,2934,3
81,91,2,11,2023-08-05 03:06:51,107.98,14009,4
82,96,1,2,2023-08-05 21:12:21,334.8,10311,5
83,107,3,27,2023-08-05 08:16:43,578.28,5942,4
84,115,3,24,2023-08-05 13:15:32,1119.97,13339,4
85,119,4,30,2023-08-05 12:04:29,42.84,12518,2
86,123,3,23,2023-08-05 23:49:23,2033.97,13112,5
87,137,9,85,2023-08-05 05:52:14,377.97,7477,5
88,149,9,81,2023-08-05 04:05:55,7159.45,10065,5
89,159,8,76,2023-08-05 01:45:22,990.0,447,5
90,166,4,30,2023-08-05 11:58:15,247.45,14106,5
91,169,6,56,2023-08-05 05:46:59,169.95,1877,5
92,175,5,44,2023-08-05 07:28:01,674.95,3215,3
93,199,7,69,2023-08-05 08:34:03,51.89,13950,3
94,4,1,2,2023-08-06 21:33:09,1403.82,10937,5
95,19,1,2,2023-08-06 19:22:05,361.26,14206,1
96,21,2,12,2023-08-06 09:02:32,3239.98,2334,2
97,23,5,41,2023-08-06 04:12:19,359.99,1752,2
98,34,5,41,2023-08-06 04:08:03,168.72,10623,1
99,38,3,25,2023-08-06 11:37:38,103.2,2699,1
100,51,5,42,2023-08-06 01:54:33,647.82,9242,4
101,52,9,84,2023-08-06 23:48:46,269.98,4303,2
102,61,3,27,2023-08-06 19:52:19,29.99,2769,1
103,69,6,52,2023-08-06 00:37:21,4.0,1111,4
104,75,5,41,2023-08-06 20:50:43,377.99,9885,2
105,77,7,70,2023-08-06 19:51:34,155.65,1556,3
106,83,8,76,2023-08-06 22:36:54,8303.92,5239,4
107,91,3,27,2023-08-06 10:29:46,41.29,13153,1
108,103,4,30,2023-08-06 19:52:09,4422.6,10291,4
